glucose,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
50,6,0,10,12,5,20,39,26,37,21,7,4,0,2,0,7,1,1,12,3,1,5,4,8
60,4,5,13,3,29,49,54,42,50,37,10,14,13,13,15,15,9,12,19,8,17,19,10,9
70,18,39,61,39,42,41,54,99,96,89,89,55,46,36,17,5,13,28,22,22,24,27,31,11
80,33,69,47,59,112,108,128,150,140,157,125,115,62,44,48,42,18,36,35,66,62,90,89,49
90,82,76,59,109,58,102,106,98,96,137,98,60,54,46,66,65,45,73,81,59,77,112,74,92
100,76,37,64,79,102,83,93,68,81,83,98,91,82,96,74,75,102,107,81,109,100,78,65,79
110,70,40,47,90,57,72,60,93,89,65,91,65,85,86,98,92,114,111,113,83,75,60,85,68
120,68,42,57,39,52,76,62,40,45,32,35,66,73,98,96,108,125,96,82,72,57,63,65,70
130,64,72,52,49,66,34,30,44,36,40,32,66,68,99,104,92,100,60,53,40,50,47,55,43
140,49,55,19,40,32,18,26,20,35,32,49,56,49,77,56,67,72,69,53,55,47,37,35,40
150,36,41,68,20,26,31,27,15,10,13,29,57,80,41,51,54,44,41,30,45,44,33,14,34
160,21,29,52,22,20,25,17,11,12,24,24,18,53,24,44,43,47,43,29,35,45,42,17,41
170,28,44,37,26,22,28,7,11,8,15,12,8,16,13,29,22,10,10,20,29,29,21,15,26
180,32,39,29,38,17,18,7,7,8,6,14,7,14,22,6,9,4,9,21,17,32,23,25,16
190,40,28,29,28,18,7,10,4,11,3,2,12,4,14,3,12,1,5,12,27,17,16,14,26
200,18,26,20,42,17,0,0,4,1,0,5,8,2,3,1,4,0,4,11,22,11,17,25,14
210,11,15,16,18,11,2,0,5,0,0,12,5,3,3,2,3,0,2,25,10,12,9,25,25
220,9,14,16,12,11,2,0,6,0,0,0,1,1,4,4,4,0,0,10,8,6,7,13,6
230,5,3,13,3,16,8,10,4,0,0,0,0,6,5,7,1,3,0,4,10,8,11,5,1
240,2,5,5,2,10,8,4,0,0,0,0,0,0,0,4,2,4,0,1,2,3,1,1,2
250,0,6,4,5,0,1,5,0,0,0,0,0,0,0,4,5,3,0,7,1,5,1,9,0
260,0,5,4,1,0,1,4,0,0,0,0,0,0,0,0,3,1,5,3,2,2,0,0,0
270,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,2,8,1,3,0,1,0,0
280,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0
290,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,1
300,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,1,3
310,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2
320,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
